gene,SNPs,hits,Z,top_candidate_p,Z_pVal
15996,30,0,1.5427882596804898,1.0,0.4231112631473186
15997,22,1,1.5004742388508272,0.19836941046095416,0.34582484783680045
15998,8,0,2.5028832817356026,1.0,0.018486652119979352
15999,9,0,0.8006609302424218,1.0,0.4505508170789483
16000,21,0,1.5960289427142467,1.0,0.3000672237665807
16001,137,1,2.4755451302454508,0.7476393369106538,0.7205889240266924
16002,32,0,2.595911126221622,1.0,0.13969843127039727
16003,26,0,1.2269215398111144,1.0,0.4947901321863757
16004,68,0,1.9873325881727093,1.0,0.5903273486167351
16005,19,0,-0.0009826400965791586,1.0,0.8433378272943883
16006,20,1,0.3066856956777028,0.1820930624027693,0.7651116130704387
16007,44,0,3.180540985618403,1.0,0.11545322225587373
16008,50,1,2.2489745674677484,0.39499393286246365,0.3837466862473884
16009,75,1,0.24111384834983873,0.5294133584143501,0.9371730657037618
16010,85,0,1.9189083346994662,1.0,0.6904134874060106
16011,96,0,1.3193349962254957,1.0,0.8394105492012077
16012,94,0,1.8485015201426063,1.0,0.737869090776057
16013,55,1,2.797552848880627,0.42464525002307163,0.2710596400287333
16014,65,0,1.3184787310533481,1.0,0.7471943741496962
16015,35,0,0.6186258225115411,1.0,0.7719043124985085
16016,97,0,1.8607361747727251,1.0,0.7445400010867465
16017,36,1,1.2316327162363387,0.30358678195042654,0.5917942787254249
16018,12,0,0.8126100819283768,1.0,0.48818851614194947
16019,74,0,2.353375882566717,1.0,0.5242747501379122
16020,49,1,1.2830621208326043,0.388882760467135,0.672655362024249
16021,58,0,1.0971142220197105,1.0,0.7680783710213579
16022,17,0,1.0967362832567067,1.0,0.4368639915760879
16023,80,2,2.6622802787211866,0.1908418660230089,0.47487772368017844
16024,68,0,1.7668815137949827,1.0,0.6500310074034502
16025,56,0,3.618204872958607,1.0,0.1130594847783466
16026,3,0,-0.5625352312279118,1.0,0.897843943029085
16027,32,0,1.537601804440731,1.0,0.4463376319298945
16028,26,0,1.4599078798797944,1.0,0.40815559770207355
16029,68,0,1.1541495856381978,1.0,0.7944116570776866
16030,21,0,0.3383005674091778,1.0,0.7625948223797305
16031,7,0,0.282442397735193,1.0,0.6522955260372322
16032,11,0,0.9444802478869484,1.0,0.4173695938993869
16033,10,0,0.8832422286278551,1.0,0.4291181671112694
16034,60,0,2.421995527859787,1.0,0.41165753117242887
16035,31,0,-0.28679542901965643,1.0,0.9310448017401803
16036,9,0,1.1565379060354994,1.0,0.3008968178065061
16037,1,0,0.05832634263689111,1.0,0.6753970224737513
